Wavelength[nm],Intensity[normalized],Phase[rad]
648.51,0.25947938,0.58584741
648.96,0.26115694,0.58147087
649.41,0.26329491,0.57620826
649.86,0.26465154,0.57005252
650.30,0.26466492,0.56397319
650.75,0.26429560,0.55698673
651.20,0.26549204,0.54908614
651.65,0.26881195,0.54124105
652.09,0.27271448,0.53295622
652.54,0.27599698,0.52422476
652.99,0.27866422,0.51552805
653.43,0.28085866,0.50588267
653.88,0.28303604,0.49625833
654.33,0.28580933,0.48615992
654.78,0.28866286,0.47655720
655.22,0.29061364,0.46597856
655.67,0.29163915,0.45490550
656.12,0.29235115,0.44430785
656.56,0.29335336,0.43320233
657.01,0.29473983,0.42255881
657.46,0.29594957,0.41188232
657.90,0.29663461,0.40165450
658.35,0.29677733,0.39138042
658.80,0.29631125,0.38154175
659.25,0.29578808,0.37262017
659.69,0.29578375,0.36412084
660.14,0.29592573,0.35554892
660.59,0.29580497,0.34787444
661.03,0.29513163,0.34060259
661.48,0.29359701,0.33421518
661.93,0.29151054,0.32821745
662.37,0.28939032,0.32260294
662.82,0.28747002,0.31883006
663.27,0.28553815,0.31689241
663.71,0.28279271,0.31531874
664.16,0.27891521,0.31410268
664.60,0.27496950,0.31372616
665.05,0.27194586,0.31320628
665.50,0.26905451,0.31351329
665.94,0.26542781,0.31415261
666.39,0.26190236,0.31414140
666.84,0.25901894,0.31493825
667.28,0.25626131,0.31604864
667.73,0.25351463,0.31697806
668.17,0.25104035,0.31723205
668.62,0.24902217,0.31680441
669.07,0.24739607,0.31617726
669.51,0.24573746,0.31436791
669.96,0.24378550,0.31137022
670.41,0.24153056,0.30766636
670.85,0.23904775,0.30227370
671.30,0.23681692,0.29323303
671.74,0.23517583,0.28297970
672.19,0.23449557,0.27150770
672.64,0.23528879,0.25832272
673.08,0.23672103,0.24439532
673.53,0.23751485,0.22874298
673.97,0.23753754,0.21233628
674.42,0.23705258,0.19468101
674.86,0.23653467,0.17577125
675.31,0.23670996,0.15364795
675.76,0.23739363,0.13025837
676.20,0.23777431,0.10657319
676.65,0.23776664,0.08209827
677.09,0.23753423,0.05682778
677.54,0.23720268,0.03173248
677.98,0.23723148,0.00680654
678.43,0.23717121,-0.01795580
678.87,0.23605851,-0.04256031
679.32,0.23444168,-0.06603618
679.77,0.23336960,-0.08838914
680.21,0.23276541,-0.10962490
680.66,0.23220270,-0.13072573
681.10,0.23165633,-0.15023245
681.55,0.23108517,-0.16863902
681.99,0.23034225,-0.18595108
682.44,0.22960537,-0.20217426
682.88,0.22909121,-0.21682589
683.33,0.22805752,-0.22991156
683.77,0.22541446,-0.23997202
684.22,0.22164018,-0.24847767
684.66,0.21775988,-0.25543405
685.11,0.21378788,-0.26084669
685.55,0.21004700,-0.26472112
686.00,0.20743132,-0.26657454
686.44,0.20600388,-0.26690071
686.89,0.20494462,-0.26619339
687.33,0.20365366,-0.26299317
687.78,0.20201993,-0.25730550
688.22,0.19996330,-0.24815922
688.67,0.19762769,-0.23800114
689.11,0.19520420,-0.22634837
689.56,0.19235256,-0.21369454
690.00,0.18918222,-0.20004503
690.45,0.18653597,-0.18589345
690.89,0.18430588,-0.17075683
691.34,0.18184732,-0.15561704
691.78,0.17970238,-0.13999110
692.22,0.17857750,-0.12144288
692.67,0.17776967,-0.10193075
693.11,0.17653211,-0.08341310
693.56,0.17546916,-0.06589514
694.00,0.17498153,-0.04987037
694.45,0.17447023,-0.03534399
694.89,0.17366846,-0.02329775
695.34,0.17273987,-0.01373681
695.78,0.17166924,-0.00666634
696.22,0.17052647,-0.00355630
696.67,0.16963370,-0.00978293
697.11,0.16927579,-0.02095679
697.56,0.16934159,-0.03561813
698.00,0.16935100,-0.05426032
698.44,0.16904836,-0.07640014
698.89,0.16846348,-0.10204264
699.33,0.16766887,-0.13168113
699.78,0.16709861,-0.16483236
700.22,0.16699235,-0.20150133
700.67,0.16698842,-0.24169303
701.11,0.16701274,-0.29517806
701.55,0.16733227,-0.35268405
702.00,0.16789089,-0.41275110
702.44,0.16810314,-0.47440758
702.88,0.16757037,-0.53717013
703.33,0.16681724,-0.59957881
703.77,0.16672727,-0.66163852
704.22,0.16743967,-0.72286585
704.66,0.16820965,-0.78180082
705.10,0.16871624,-0.83844828
705.55,0.16907447,-0.88500057
705.99,0.16894176,-0.92488047
706.43,0.16826113,-0.96102250
706.88,0.16753509,-0.99294315
707.32,0.16715628,-1.02113550
707.76,0.16726381,-1.04511602
708.21,0.16754069,-1.06488948
708.65,0.16740204,-1.07997233
709.09,0.16703131,-1.08988102
709.54,0.16708690,-1.09510854
709.98,0.16755949,-1.08931193
710.42,0.16803316,-1.07054277
710.87,0.16828682,-1.04710650
711.31,0.16812633,-1.02047263
711.75,0.16735684,-0.99064581
712.20,0.16647530,-0.95860723
712.64,0.16636563,-0.92533807
713.08,0.16667558,-0.89084295
713.53,0.16614316,-0.85610303
713.97,0.16440591,-0.82209943
714.41,0.16212361,-0.78883675
714.86,0.16004155,-0.76852656
715.30,0.15853702,-0.74994293
715.74,0.15762474,-0.73309041
716.18,0.15684303,-0.71846178
716.63,0.15580374,-0.70606156
717.07,0.15479716,-0.69540595
717.51,0.15391624,-0.68698772
717.96,0.15299344,-0.68081133
718.40,0.15216879,-0.67688125
718.84,0.15139234,-0.67520190
719.28,0.15071344,-0.68163710
719.73,0.15056063,-0.69765612
720.17,0.15060219,-0.71545084
720.61,0.14986402,-0.73453740
721.05,0.14847241,-0.75345531
721.50,0.14758125,-0.77172068
721.94,0.14775476,-0.78933786
722.38,0.14870361,-0.80533462
722.82,0.15021185,-0.81873875
